Paper_Num,Citation_Key,Short_Name,In_Final_30,OIA_Org_Structure,OIA_Op_Methodology,Original_Org_Structure,Framework,Reasoning_Protocols,Workflow_Patterns,State_Memory,Modality,Num_Agents,Asimow_Phase,Human_In_Loop
11,chen2025menter,MenTeR,Yes,ORCHESTRATED,STAGED-PIPELINE,"Hierarchical, Collaborative, Sequential, and Human in the Loop",AutoGen,"Chain-of-Thought (CoT), Chain-of-Stage (CoS), Tree of Thoughts (ToT), DA-RAG, Se",Chain-of-Stage (CoS) (Decomposition into sequential specialized stages) and Self,Context truncation techniques to avoid token limits; Memory management system (i,"Text, Diagram/Schematic topologies, Netlists, Simulation res","5+ (Meta Agent, PI Agent, Circ",Analysis - Synthesis,Yes
12,youwai2025investigating,Foundation Design Automation,Yes,ORCHESTRATED,GRAPH-ROUTED,"Hierarchical, Collaborative, and Human in the Loop (Router-based expert selection)",LangChain,"Chain-of-Thought (CoT), Task Classification (Routing), One-shot Learning",Intelligent Task Classification & Expert Selection (Router-based architecture) a,"Simple Memory; Contextual expertise stored in system prompts,.","Text, JSON input/output, Web results,,.","4+ (Router, Designer, Reviewer",Analysis ,Yes
13,jin2025closed,Aerodynamics-Aware Automotive Styling,Yes,NETWORKED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Sequential (Closed-loop design-validation)",AutoGen,"ReAct, Search-Reflect Loop, Reflexion, Planning",Closed-Loop Design–Validation and Search-Reflect Iterative Loop.,"N/A (Context Window Management within the AutoGen orchestration loop),.","Text, Sketches, 3D Point Clouds, Multi-view Images,,.",6+ (3 Competitive Analysis sub,Analysis - Synthesis - Evaluation,No
14,liang2025automating,MASSE,Yes,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Sequential (mirrors engineering consultancy firms)",AutoGen,"Chain-of-Thought (CoT), ReAct, Tree of Thoughts (ToT), RAG, Long-horizon Plannin",End-to-End Design Workflow with Explicit Safety/Verification Loops.,Structured Memory Manager; Analysis Results storage; JSON-based input–output sch,"Text, PDF (Building codes), Python scripts (OpenSeesPy), JSO","9 (4 Analysts, 3 Engineers, Pr",Analysis - Synthesis - Evaluation,No
15,xu2025engineering,Engineering.ai,Yes,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Sequential (Chief Engineer coordinated CAD-CAE pipeline)",Not Specified (AutoGen; builds on OpenFOAMGPT 2.0),"Retrieval-Augmented Generation (RAG), Task Decomposition, Iterative Error Recove",Leader-Orchestrated Multi-Agent Framework and Intelligent Error Recovery with Ch,Checkpointing (serialization to disk via JSON/gzip); Project history storage; Fi,"Text, STEP files, CSV, VTK, JSON, Docker logs,,,.","5 (Chief Engineer, Aerodynamic",Analysis - Synthesis - Evaluation,No
16,kumar2025toward,Knowledge-Guided Autonomous Design,Yes,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, Sequential, and Human in the Loop",LangChain,"Knowledge Graph Reasoning, Iterative Feedback Loops, Requirement Elicitation, Pl",Structured Iterative Design & Review Loops.,Vector database for semantic similarity search; Knowledge Graph (stored as CSV) ,"Text, PDF (Scientific articles), Images (Airfoil profile plo","3 (Graph Ontologist, Design En",Analysis - Synthesis - Evaluation,Yes
17,ghosh2025power,Power Systems Engineering,No,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Human in the Loop (Orchestrator-delegator-ensemble)",LangChain,"Chain-of-Thought (CoT), Tree-of-Thought, Contextual RAG, Goal Decomposition, Zer",Perceive-Plan-Retrieve-Reflect-Act Cycle and Goal Decomposition.,Shared verifiable knowledge base; Immutable logging (Merkle trees/blockchain); D,"Text, Power-flow solver outputs, RFQ documents, 3D models (B",3 to 4 (Varies by task; typica,,Yes
18,guo2025multidisciplinary,MDO Agent Driven by LLMs,Yes,NETWORKED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, Sequential, and Human in the Loop (ReAct-style loop)",Not Specified (Custom),"ReAct (Reasoning + Acting), Retrieval-Augmented Generation (RAG), Visual Self-Co",Generate-Render-Correct Cycle and ReAct-style Tool Orchestration.,RAG-based knowledge grounding; Agent's state via Thought-Action-Observation (ReA,"Text, CAD (parametric code), Images (multi-view renderings),","4 (Designer, Modeler, Verifier",Analysis - Synthesis - Evaluation,Yes
19,jin2025gridmind,GridMind,Yes,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Sequential (Planner-coordinated workflows)",PydanticAI,"Reason-Act-Reflect Loop, Chain-of-Thought (CoT), Planning, Type-Bound Context Ma",Parse-Plan-Invoke-Validate-Narrate-Persist (Deterministic loop).,Structured in-session memory; Chronological diff log for modifications; Cached c,"Text, Network snapshots (IEEE test cases), JSON,,,.","4 (ACOPF agent, CA agent, Coor",Analysis - Synthesis - Evaluation,No
20,pradas2024evaluation,Evaluation of Agent Frameworks,No,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Hybrid (compares sequential and hierarchical modes)",LangChain & CrewAI,"Chain-of-Thought (CoT), ReAct, Self-Correction, Task Decomposition",Sequential Workflow (Chain-based) vs. Hierarchical Collaboration (Manager-based),Infrastructure to store memory of its interactions; Context window limitation (u,"Text, JSON, Source code (KBE libraries),,.","3 (Task Manager, Engineer, and",,No
21,liao2024autoforma,AutoForma,Yes,SEQUENTIAL,STAGED-PIPELINE,"Hierarchical, Collaborative, and Sequential (Requirement-Plan-Code-Execute)",AutoGen,"Retrieval-Augmented Generation (RAG), Requirement Analysis, Task Planning",Requirement-Plan-Code-Execute-Verify (Four-stage sequential workflow).,"Vector Database (Retrieval-Augmented Generation); JSON-formatted results,.","Text, Python scripts, 3D Model previews,,.","4 (Requirement Analyst, Planne",Analysis - Synthesis,No
22,ding2023designgpt,DesignGPT,Yes,NETWORKED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Human in the Loop (Simulates roles in a design firm)",Not specified,"Standardized Operating Procedures (SOPs), Role-Playing, Reflection, Brainstormin",Standardized Operating Procedures (SOPs) (Simulating corporate workflow steps).,"Requirements Import Form; Historical records; Status management; Knowledge Base,","Text, Images (Sketches/Concept maps), Process documents (PDF","5 (Product Manager, Design Dir",Analysis ,Yes
23,mushtaq2025harnessing,Senior Design Projects Framework,Yes,ORCHESTRATED,STAGED-PIPELINE,"Hierarchical, Collaborative, and Human in the Loop (Coordinator-managed Task Channel)",Camel AI,"Tree of Thoughts (ToT), Chain-of-Thought (CoT), Task Decomposition, ReAct",Coordinator-Managed Task Distribution (via a centralized Task Channel).,"Message history of the last 10 responses; Coordinator-managed task state,,.","Text, PDF (Senior Design Proposals), Internet results,,.","10 (Coordinator, Task Agent, a",Analysis ,Yes
24,panta2025meda,MEDA,Yes,NETWORKED,GRAPH-ROUTED,"Hierarchical, Collaborative, and Sequential (Transition policy based on FSM)",AutoGen,"Multi-modal Self-Correction/Refinement, Planning, Zero-shot & One-shot Learning,",Finite State Machine (FSM) constrained transitions and Generate-Execute-Review-I,Internal memory states; Finite State Machine (FSM) for controlled transitions; W,"Text, Python scripts (CadQuery), Images, STL, STEP,,.","5 (Design Expert, CAD Script W",Analysis - Synthesis,No
25,wang2025llm,Mechatronics Design Framework,Yes,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, Sequential, and Human in the Loop",Not specified (Custom),"Chain-of-Thought (CoT), Constraint-Aware Reasoning, Goal/Task Decomposition, Pla",High-Level Planning Decomposition and Human-in-the-Loop Refinement.,Command buffer; Unified design strategy maintained by Planning Agent; Knowledge ,"Text, Python code, Logic analyzer traces, Schematic diagrams","5 (High-Level Planning, Mechan",Analysis - Synthesis,Yes
26,ghafarollahi2025automating,AtomAgents,Yes,NETWORKED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Human in the Loop (Brain-Perception-Action loop)",AutoGen,"Strategic Planning, Physics-Aware Reasoning, Multimodal Reasoning, In-context Le",Brain-Perception-Action Loop and Planner-Critic Approval Workflow.,Core memory (retained throughout); Structured conversational memory; Vector embe,"Text, Multimodal data (Differential Displacement maps), LAMM","11 (User, Assistant, Scientist",Analysis - Synthesis - Evaluation,Yes
27,ataei2025elicitron,Elicitron,Yes,SEQUENTIAL,STAGED-PIPELINE,"Hierarchical, Collaborative, and Sequential (Serial/Parallel agent generation stages)",Custom (Python; uses Pydantic for output constrain,"Chain-of-Thought (CoT), Diversity Sampling (K-means), Role-Playing, Scenario-Bas",Action-Observation-Challenge Loop (Product experience simulation) and Context-Aw,Persistent context (Serial method ensures previous generations are context); Con,"Text, Pydantic models for schema validation,.","22 (Creator, 20 generated User",Analysis ,No
28,chen2025cost,Cost-Aware MAS,Yes,NETWORKED,GRAPH-ROUTED,"Hierarchical, Collaborative, and Hybrid (Global-local communication strategy)",Custom (mathematical MABO/MARL framework),"Bayesian Optimization Reasoning, Multi-Agent Reinforcement Learning (MARL), Info",Global-Local Communication Strategy and MABO/MARL Integrated Search.,Experience replay buffer; Gaussian process prior (Gaussian prior distribution); ,"Text, 2D Design variables,,.",4 (1 Global Evaluator and N lo,Analysis ,No
29,massoudi2025agentic,Conceptual Systems Engineering,Yes,ORCHESTRATED,GRAPH-ROUTED,"Hierarchical, Collaborative, and Sequential (Supervisor-led evolution loop)",LangGraph,"Long-Context Reasoning, Reflection/Self-Criticism, Graph-Based Reasoning (DSG), ",Generate-Critique-Evolve Loop and Design State Graph (DSG) Management.,Design State Graph (DSG); Stateful nodes with functional dependencies; Structure,"Text, Python scripts, Graph metadata,,.","11 (Decomposer, Planner, Super",Analysis ,No
30,elrefaie2025ai,Multi-Agent Framework for Car Design,Yes,SEQUENTIAL,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Hybrid (Sequential and Parallel agent interactions)",AutoGen,"Vision-Language Modeling, Hierarchical Collaboration, Iterative Refinement, Late",Hybrid Agent Workflow (combining sequential dependencies with parallel styling/s,"Latent space representation (DeepSDF); DrivAerNet++ database (8,000 car designs)","Text, 2D Sketches, 3D CAD/Meshes, Point Clouds, Voxel Grids,","4 (Styling, CAD, Meshing, and ",Analysis - Synthesis - Evaluation,No
31,navarro2025autonomous,Satellite Mission Design,Yes,ORCHESTRATED,GRAPH-ROUTED,Hierarchical; Human-in-the-loop,CrewAI,Multi-agent debate and self-correction loops; advanced reasoning models (DeepSee,Hierarchical Process simulating traditional organizational hierarchies. It follo,Built-in expert knowledge (model training) and Memory (illustrated as a core com,Text (mission requirements) and Numerical/Quantitative data ,6 (1 Study Manager and 5 speci,Analysis ,Yes
32,zhang2025desagent,DesAgent,Yes,SEQUENTIAL,GRAPH-ROUTED,Hierarchical and Collaborative; it features a dual-loop architecture called the Semantic-Numerical S,ChatGLM-based multi-agent framework,ReAct framework. It employs Retrieval-Augmented Generation (RAG) for knowledge s,"Closed-loop ""SNS-Loop""; it cycles between a semantic reasoning loop (task decomp",State-space model (defining semantic feature vectors and constraint encoding); M,"integrates Textual (requirements), Visual (sketches/CAD draw",4 primary specialized agents (,Analysis - Synthesis - Evaluation,No
